id,area,stage,title,acceptance,source_ids,state
B01,product,first-member,Standalone Excel is the primary workflow,"Create, save, reopen and recompute a beam without ETABS or an HTTP service.",S04;S26,proposed
B02,product,first-section,"Separate design, check and detailing",Check mode preserves supplied bars; design mode returns required steel; neither claims fabricated detail.,S07;S18,proposed
B03,product,first-section,Expose supported scope before calculation,A flexure-only result labels its scope; axial/torsional/deep/flanged branches outside support return unsupported.,S07;S09,proposed
B04,analysis,first-member,Provide supplied-actions and loads modes,"Supplied actions retain case/combination ID, factor state, self-weight inclusion or exclusion, source/origin and either combination constituents or an explicit externally governed combination declaration; report these effective values. Loads mode uses a separately verified bounded solver.",S16;S17,proposed
B05,actions,first-member,Keep concurrent case vectors,"Moment, shear, torsion and axial actions retain station, combination and sign; component maxima are never invented as one case.",S04;S17,proposed
B06,actions,first-member,Define ULS and SLS bases,Factored actions are never factored twice; service actions require service combinations and sustained-load data when used.,S19,proposed
B07,analysis,first-member,Define supports and coordinates,"Clear span, support faces, offsets, restraints, local axes and positive signs are visible and round-trip unchanged.",S17,proposed
B08,analysis,first-member,Resolve critical stations,"Point loads, action extrema, discontinuities and support faces are covered; endpoints plus midpoint alone cannot establish member coverage.",S17,proposed
B09,materials,first-section,Bind engineering rule and data revisions,"Each run records code edition, amendments, dataset digest and engine version; no silent latest-code substitution.",S06;S10,proposed
B10,geometry,first-section,Make dimensions and effective depth explicit,Reject nonfinite or impossible geometry; section d is measured from compression face and is less than overall depth.,S01;S18,proposed
B11,geometry,first-member,Reconcile depth with selected bars,Recompute centroids after bar/layer selection; strength and SLS use the final arrangement or a named provisional result.,S07;S18,proposed
B12,materials,first-member,Record cover convention and durability inputs,Cover is explicitly to the defined steel surface; exposure/fire requirements and chosen nominal cover remain traceable.,S18,proposed
B13,flexure,first-section,Verify ordinary rectangular flexure,Pass/fail and limiting branches replay named source cases with unrounded decisions and metric-specific tolerances.,S05;S08,proposed
B14,flexure,extension,Add compression steel and flanges explicitly,Compression-steel stress and flange applicability have separate examples; unsupported branches cannot reuse a rectangular approximation silently.,S05,proposed
B15,shear,first-member,Check and select links,"Shear resistance, maximum stress, minimum reinforcement, link geometry and spacing are checked for all required stations.",S01;S04,proposed
B16,torsion,extension,Define torsion interaction support,Nonzero torsion blocks an ordinary no-torsion profile; enabled torsion checks both equivalent moment and shear with applicability.,S05,proposed
B17,serviceability,first-member,Distinguish screening from calculated deflection,Span-depth screening is labeled screening; a missing detailed deflection check never appears as a detailed SLS pass.,S01;S19,proposed
B18,serviceability,extension,Model detailed short and long-term SLS,"Elastic coefficient/load shape, cracking, creep, shrinkage and sustained history are explicit; reference comparisons match assumptions.",S05;S19,proposed
B19,serviceability,first-member,Select a declared crack-control route,"A profile names its deemed-to-satisfy or calculated route; missing inputs yield incomplete scope, not a blank green cell.",S19,proposed
B20,detailing,first-member,Verify constructible longitudinal bars,"Minimum/maximum reinforcement, clear spacing, layers and link enclosure use actual bar positions. Nominal maximum aggregate size is supplied or resolved by a named versioned profile and bound to effective-input identity; missing size leaves constructibility uncovered.",S07;S18,proposed
B21,detailing,first-member,"Resolve development, anchorage and laps","Bar ends and lap locations bind to actual support/member geometry, material basis and applicable restrictions.",S06;S04,proposed
B22,detailing,extension,Verify curtailment and redistribution branches,Curtailment uses demand envelopes and anchorage beyond cutoff; redistribution is only enabled with its own eligibility and analysis proof.,S04;S06,proposed
B23,detailing,first-member,Keep BBS tied to resolved detail,"Marks, shapes, bend convention, lengths and quantities derive from one arrangement; unresolved geometry prevents issued BBS.",S04,proposed
